hjres1,1,92,1,83556.2666666667,0.9885278743,1.0106693748,0.5645990129,1.0,0.989130434783,REFERRED
hjres10,1,1,1,17086.25,1.6078151367,1.9812322619,1.3010503606,1.0,1.0,REFERRED
hjres100,1,1,10,9392.1111111111,2.118043458,2.5801496424,1.437228181,0.0,0.0,REFERRED
hjres101,1,2,10,51394,1.7404444696,2.1574102623,1.3224221483,1.0,1.0,REFERRED
hjres102,1,3,11,22853.55,1.5419257178,1.9044571802,1.234693888,0.7,0.666666666667,REFERRED
hjres103,1,3,11,22853.55,1.7971859419,2.0837132843,1.2295670796,0.7,0.666666666667,REFERRED
hjres104,1,13,11,36637.6666666667,1.552408884,1.861090344,1.1098643356,1.0,1.0,REFERRED
hjres105,1,31,1,11721.0740740741,1.0348131543,1.2438500793,0.7603868421,0.5,0.516129032258,PASS_OVER:HOUSE
hjres106,1,1,1,56925,1.8614771712,2.3273546194,1.5599270842,1.0,1.0,ENACTED:SIGNED
hjres107,1,4,1,67660.6666666667,1.3811235854,1.5738728389,0.9244694789,0.0,0.0,REFERRED
hjres108,1,9,2,60222.9,1.5019196387,1.8270023803,1.0359397442,1.0,1.0,REFERRED
hjres109,1,2,2,37556.4074074074,1.7453271812,2.0534175269,1.2725051015,0.5,0.5,REFERRED
hjres11,1,10,1,88281.9473684211,1.3162959607,1.6867313689,1.1738671534,1.0,1.0,REFERRED
hjres110,1,15,2,42717,1.5882968048,1.8647144792,1.1238369289,1.0,1.0,REFERRED
hjres111,1,3,3,22853.55,1.3603333242,1.7089460456,1.0883796836,0.7,0.666666666667,REFERRED
hjres112,1,2,3,37556.4074074074,1.6400904314,1.8952222041,1.0910688719,0.5,0.5,REFERRED
hjres113,1,147,3,16084.8695652174,0.9538936418,0.8771504426,0.4866004072,0.0,0.0,REFERRED
hjres114,1,1,4,61998.1176470588,2.0735195555,2.2067132228,1.2258297074,0.0,0.0,REFERRED
hjres115,1,21,5,18859.375,1.3582365141,1.5459580029,0.861884169,1.0,1.0,REFERRED
hjres116,1,2,6,152311,1.6603195398,2.0598225443,1.2213332094,0.5,0.5,REFERRED
hjres117,1,3,7,22853.55,1.510092939,1.7920252069,0.9991813786,0.7,0.666666666667,REFERRED
hjres118,1,35,7,18849.5263157895,1.3127747797,1.6880491808,1.1692227005,1.0,0.971428571429,REFERRED
hjres119,1,124,7,22447.3333333333,0.9436817847,0.8754686865,0.5278674431,0.0,0.0,REFERRED
hjres12,1,2,1,27079,1.6247799633,1.9052538849,1.2125571078,0.0,0.0,REFERRED
hjres120,1,1,7,58824.7,1.5863970636,1.8765539088,1.0644067358,0.0,0.0,ENACTED:SIGNED
hjres121,1,1,7,42178,1.7102934733,2.07115479,1.2045912747,0.0,0.0,REFERRED
hjres122,1,1,7,29355.9333333333,1.6869836215,1.9509446524,1.1643516903,1.0,1.0,REFERRED
hjres123,1,16,9,16351.5945945946,1.3640528011,1.7233832015,1.1528045815,1.0,1.0,REFERRED
hjres124,1,1,9,56925,1.5828671859,1.8314550037,1.0817368075,1.0,1.0,ENACTED:SIGNED
hjres125,1,4,9,22668.4375,1.448155036,1.7997516567,1.1886439242,0.0,0.0,REFERRED
hjres126,1,20,9,20721.3,1.7139320219,1.944027849,1.2881854683,1.0,1.0,REFERRED
hjres127,1,7,9,14267.8333333333,1.5389258733,1.7864038883,1.0080106834,1.0,1.0,REFERRED
hjres128,1,1,9,61998.1176470588,1.7496639813,2.0280032682,1.161517028,0.0,0.0,REFERRED
hjres13,1,1,1,27079,1.6431918764,1.9261002856,1.0536871033,0.0,0.0,REFERRED
hjres14,1,1,1,27079,1.7115151174,2.1237752331,1.3328886645,0.0,0.0,REFERRED
hjres15,1,1,1,8868.2352941177,1.6766528702,2.1600559209,1.4788024499,0.0,0.0,REFERRED
hjres16,1,3,1,35063.25,1.4438533984,1.7266391055,0.9869287258,1.0,1.0,REFERRED
hjres17,1,1,1,112634.6,1.6428157253,1.9743073332,1.2435875545,1.0,1.0,REFERRED
hjres18,1,1,1,0,1.6289818231,1.9982508142,1.2671885294,0.0,0.0,REFERRED
hjres19,1,5,1,0,1.7068807637,2.0472623339,1.1282862665,0.4,0.4,REFERRED
hjres2,1,143,1,83556.2666666667,0.9814492513,1.0101195453,0.6031104386,1.0,0.958041958042,REFERRED
hjres20,1,38,1,33255.5555555556,0.9983514837,1.1590507295,0.7510521147,0.0,0.0,REFERRED
hjres21,1,37,1,33255.5555555556,1.0296362365,1.3095591864,0.9086253998,0.0,0.027027027027,REFERRED
hjres22,1,1,1,40790.4,1.6975746796,1.8509842104,1.0866792509,1.0,1.0,REFERRED
hjres23,1,1,1,47965.5652173913,1.9635166652,2.356643877,1.3589754805,1.0,1.0,REFERRED
hjres24,1,38,2,31414.8571428571,1.1525181923,1.4783711275,0.9297077953,0.9,0.894736842105,REFERRED
hjres25,1,54,2,25427.6923076923,1.0504900569,1.310217864,0.9175479086,0.0,0.0,REFERRED
hjres26,1,8,2,61914.375,1.2933821777,1.6276916546,1.0002703808,1.0,1.0,REFERRED
hjres27,1,4,2,11701,1.8130287536,2.1187070972,1.2032634467,1.0,1.0,REFERRED
hjres28,1,38,2,51394,1.0600109454,1.2195770364,0.7909278784,1.0,0.973684210526,REFERRED
hjres29,1,4,2,228002.6,2.2601454712,2.4903913494,1.4974870539,0.0,0.0,REFERRED
hjres3,1,1,1,3150.5813953488,1.5867970631,1.928845245,1.2150974214,0.0,0.0,REFERRED
hjres30,1,1,2,61796.3529411765,1.427371261,1.8112909081,1.1603738416,1.0,1.0,REFERRED
