bill_id, 1, numTerms, avgRank, lowestRank, percentCIC, bill_status
hr2355,1,4,8.66666666667,2,0.0,REFERRED
hr2352,1,8,4.71428571429,1,0.0355555555556,REFERRED
hr2353,1,18,2.14285714286,1,0.04,PASS_OVER:HOUSE
hr2350,1,1,8.16666666667,1,0.00516129032258,REFERRED
hr2351,1,10,3.0,1,0.16,REFERRED
hr1149,1,10,3.0,1,0.00705882352941,REFERRED
hr388,1,2,9.66666666667,3,0.06,REFERRED
hr389,1,3,10.2857142857,5,0.32,REFERRED
hr5134,1,5,2.8,1,0.48,ENACTED:SIGNED
hr4513,1,1,14.6666666667,8,0.96,REFERRED
s498,1,8,4.46153846154,1,0.0,REFERRED
s499,1,5,4.46666666667,1,0.0,REFERRED
s496,1,2,4.13043478261,1,0.02,REFERRED
s497,1,4,3.4,1,0.24,REFERRED
s494,1,12,2.41176470588,1,0.96,REFERRED
s495,1,7,3.55555555556,1,0.075,REFERRED
s492,1,7,3.55555555556,1,0.24,REFERRED
s493,1,12,2.41176470588,1,0.48,REFERRED
s490,1,5,4.6875,1,0.0,REFERRED
s491,1,5,30,20,0.0472727272727,REPORTED
hr386,1,5,6.33333333333,1,0.00833333333333,REFERRED
hr387,1,11,6.6,3,0.0,REFERRED
hr1902,1,3,9.33333333333,2,0.0,REFERRED
hr1903,1,2,12.5,7,0.0,REFERRED
hr1900,1,2,10.375,5,0.0260869565217,PASS_OVER:HOUSE
hr1901,1,14,6.2,1,0.48,REFERRED
hr1906,1,9,3.25,1,0.02,REFERRED
hr1907,1,8,4.71428571429,1,0.00205128205128,REFERRED
hr1904,1,10,3.4,1,0.0178723404255,REFERRED
hr1905,1,2,12.5,7,0.00230769230769,REFERRED
hr1908,1,4,6.0,1,0.00244897959184,REFERRED
hr1909,1,7,5.6,1,0.00666666666667,REFERRED
hr128,1,16,3.0,1,0.0,REFERRED
hr129,1,16,3.0,1,0.00047619047619,REFERRED
hr4374,1,3,4.33333333333,1,0.0533333333333,REFERRED
hr4375,1,2,6.75,1,0.00888888888889,REFERRED
hr4372,1,7,4.5,1,0.0218181818182,REFERRED
hr4373,1,9,3.5,1,0.00571428571429,REFERRED
hr4370,1,1,12.8571428571,5,0.00666666666667,REFERRED
hr4371,1,1,10.2222222222,4,0.0,REFERRED
hr120,1,8,3.66666666667,1,0.0,REFERRED
hr121,1,8,3.66666666667,1,0.0,REFERRED
hr122,1,8,3.66666666667,1,0.0,REFERRED
hr123,1,8,3.66666666667,1,0.0,REFERRED
hr124,1,10,5.0,2,0.00705882352941,REFERRED
hr125,1,10,5.0,2,0.04,REFERRED
hr126,1,10,5.0,2,0.0,PASS_OVER:HOUSE
hr127,1,10,5.0,2,0.00153846153846,REFERRED
hr3858,1,2,11.2857142857,3,0.0,REFERRED
hr3859,1,1,8.85714285714,2,0.0584615384615,REFERRED
hr3856,1,3,12.3333333333,5,0.0,REFERRED
hr3857,1,6,6.66666666667,4,0.00190476190476,REFERRED
hr3854,1,3,9.33333333333,2,0.00190476190476,REFERRED
hr3855,1,3,7.8,1,0.00193548387097,REFERRED
hr3852,1,9,6.75,3,0.0,REFERRED
hr3853,1,3,9.0,5,0.0,REFERRED
hr3850,1,2,9.85714285714,4,0.0,REFERRED
hr3851,1,3,9.5,2,0.0222222222222,REFERRED
hr1630,1,8,3.66666666667,1,0.0008,REFERRED
hr1631,1,21,6.625,1,0.0,REFERRED
hr1632,1,2,13.4,6,0.0276923076923,REFERRED
hr1633,1,2,11.5,4,0.12,REFERRED
hr1634,1,5,6.0,1,0.0209523809524,REFERRED
hr1635,1,4,7.625,1,0.0338461538462,REFERRED
hr1636,1,7,4.16666666667,1,0.04,REFERRED
hr1637,1,2,6.55555555556,1,0.0,REFERRED
hr1638,1,2,6.55555555556,1,0.02,REFERRED
hr1639,1,2,9.85714285714,4,0.48,REFERRED
s1528,1,3,3.77777777778,1,0.24,REFERRED
s1529,1,8,7.84615384615,5,0.00666666666667,REFERRED
s1522,1,10,3.5,1,0.0,REFERRED
s1523,1,5,5.0625,1,0.08,REFERRED
s1520,1,1,8.85714285714,5,0.0,REFERRED
s1521,1,3,5.06666666667,1,0.96,REFERRED
s1526,1,4,5.2,1,0.32,REFERRED
s1527,1,2,4.31578947368,1,0.0,REFERRED
s1524,1,5,5.2,1,0.0,REFERRED
s1525,1,7,3.17647058824,1,0.00705882352941,REFERRED
