bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres2,1,143,1,0,0,96411.0769230769,0.972027972,0,0,0,0.0565136599,0.8945033505,-1.070838936,-0.790764491,0.1292184251,0.8984149899,1.1431406639,REFERRED
hjres20,1,38,1,0,0,37412.5,0,0.045,0.0396039604,0.1683168317,0.8591219471,2.0988723259,-1.299930815,-0.4308146901,0.5391240547,1.2043877224,4.2009978787,REFERRED
hjres21,1,37,1,0,0,37412.5,0.027027027,0.0266666667,0.0007309942,0.0168128655,0.8058386035,1.9374866198,-1.3187797553,-0.2924678379,0.5538528808,1.1893231793,3.1620251947,REFERRED
hjres22,1,1,1,0,0,40790.4,1,0.0068292683,0.0426540284,0.2654028436,1.0648399179,2.3232809983,-1.5176151669,-0.5667480316,0.9265237391,1.6968718387,4.4955176836,REFERRED
hjres23,1,1,1,0,0,61289.3333333333,1,0,0.0563991323,0.3383947939,0.8363332357,2.6259860976,-1.9668952851,-0.624671679,0.4533548919,1.1149134958,4.8808505966,REFERRED
hjres24,1,39,2,0,0,31414.8571428571,0.8717948718,0,0.3079268293,0.5030487805,0.6200843115,1.413734532,-0.6631078705,-0.1818454017,0.3215860546,0.8252434628,2.4993661234,REFERRED
hjres25,1,54,2,0,0,27546.6666666667,0,0.24,0.0007309942,0.0168128655,0.7214678804,1.9054412075,-1.4769057998,-0.4321409673,0.494970236,1.2581288719,3.5207644526,REFERRED
hjres26,1,9,2,0,0,66042,1,0.006,0.0007309942,0.0168128655,0.5958277345,1.7682805092,-1.1515530854,-0.4740379825,0.2954273904,0.8294091399,3.1869905724,REFERRED
hjres27,1,4,2,0,0,20058.8571428571,1,0.24,0.1208791209,0.3076923077,0.6670764072,1.8036283084,-0.9489303535,-0.3180547431,0.2510762784,0.9165345606,2.9770605233,REFERRED
hjres28,1,38,2,0,0,57818.25,0.9736842105,0.2133333333,0.0594059406,0.2945544554,0.6689623116,1.3615164637,-0.5664225052,-0.1686309852,0.3470035875,0.8906692322,2.6987650564,REFERRED
