hr3420,1,11,3.25,1,0.45,REFERRED
hr3429,1,5,12.5,9,0.3,REFERRED
hr3428,1,2,12.5,7,0.0,REFERRED
s878,1,1,4.69230769231,1,0.25,REFERRED
hr2604,1,11,4.33333333333,2,0.0,REFERRED
hr2488,1,14,6.9,1,0.2,REFERRED
hr2489,1,14,6.9,1,0.2,REFERRED
hr2486,1,9,6.25,4,0.45,REFERRED
hr2487,1,7,4.16666666667,1,0.45,REFERRED
hr2484,1,1,7.5,2,0.05,REFERRED
hr2485,1,1,5.5,1,0.25,REFERRED
hr2482,1,14,2.33333333333,1,0.2,REFERRED
hr2483,1,14,2.33333333333,1,0.15,REFERRED
hr2480,1,25,1.5,1,0.3,REFERRED
hr2481,1,2,9.0,1,0.95,PASS_OVER:HOUSE
hr2607,1,6,1.0,1,0.1,REFERRED
hr2600,1,11,2.14285714286,1,0.7,ENACTED:SIGNED
hr2601,1,14,3.33333333333,1,0.0,REFERRED
hr2602,1,5,5.5,1,0.55,REFERRED
hr2351,1,10,3.0,1,0.8,REFERRED
hr1145,1,12,1.0,1,0.55,REFERRED
hr1390,1,17,1.5,1,0.1,REFERRED
hr5285,1,2,9.25,3,0.1,REFERRED
hr5284,1,1,30,20,0.0,REFERRED
hr5287,1,9,6.75,3,0.0,REFERRED
hr5286,1,8,4.66666666667,2,0.0,REFERRED
hr5281,1,2,9.375,1,0.45,REFERRED
hr5280,1,4,8.75,3,0.4,REFERRED
hr5283,1,7,7.33333333333,3,0.0,REFERRED
hr5282,1,3,5.57142857143,1,0.0,REFERRED
hr5289,1,1,11.0,1,0.0,REFERRED
hr5288,1,1,9.0,3,0.0,REFERRED
hr4927,1,4,10.75,4,0.0,REFERRED
hr1057,1,11,30,20,0.0,REFERRED
hr4844,1,1,15.0,4,0.95,REFERRED
hr4845,1,6,4.4,1,0.95,REFERRED
hr4846,1,3,6.6,2,0.0,REPORTED
hr4926,1,4,10.75,4,0.2,REPORTED
hr4847,1,17,1.5,1,0.55,REFERRED
hr5139,1,1,30,20,0.0,REPORTED
hr5138,1,3,11.0,6,0.05,REFERRED
hr5137,1,3,6.66666666667,1,0.35,REFERRED
hr5136,1,4,5.33333333333,1,0.0,REFERRED
hr5135,1,2,11.8571428571,5,0.1,PASS_OVER:HOUSE
hr5134,1,5,2.8,1,0.95,ENACTED:SIGNED
hr5133,1,25,1.5,1,0.95,REFERRED
hr5132,1,25,1.5,1,0.65,REFERRED
hr5131,1,1,9.5,3,0.0,REFERRED
hr5130,1,1,8.16666666667,1,0.05,REFERRED
hr4510,1,8,5.14285714286,3,0.2,REFERRED
hr4843,1,7,7.0,2,0.3,REFERRED
s498,1,8,4.46153846154,1,0.0,REFERRED
s499,1,5,4.46666666667,1,0.0,REFERRED
s496,1,2,4.13043478261,1,0.2,REFERRED
