hr487, 0.5
hr486, 0.4
hr485, 0.1
hr484, 0.9
hr483, 0.9
hr482, 0.0
hr481, 0.5
hr480, 0.0
hr1292, 1.0
hr489, 0.0
hr488, 0.5
hr1579, 0.0
hr1578, 0.0
hr1573, 0.2
hr1572, 0.9
hr1571, 1.0
hr1570, 0.0
hr1577, 1.0
hr1576, 1.0
hr1575, 0.8
hr1574, 1.0
hr4431, 1.0
hr4430, 0.7
hr4433, 0.9
hr4432, 0.9
hr4435, 0.5
hr4434, 0.9
hr4437, 0.8
hr4436, 1.0
hr4439, 0.0
hr4438, 0.6
hr1397, 0.0
hr1396, 0.5
hr317, 1.0
hr316, 0.0
hr315, 0.0
hr314, 0.0
hr313, 0.7
hr312, 0.0
hr311, 0.9
hr310, 0.5
hr319, 1.0
hr318, 0.6
hr3427, 0.2
hr3426, 0.5
hr3425, 0.0
hr3424, 0.1
hr3423, 0.3
hr3422, 0.3
hr3421, 0.8
hr3420, 1.0
hr3429, 1.0
hr3428, 0.5
hr1393, 0.7
hr2356, 0.3
hr2488, 0.0
hr2489, 0.0
hr2486, 0.0
hr2487, 0.0
hr2484, 0.3
hr2485, 0.0
hr2482, 0.1
hr2483, 0.0
hr2480, 0.0
hr2481, 1.0
hr2355, 0.3
hr2352, 0.0
hr2353, 0.6
hr2350, 0.0
hr2351, 0.6
hr5285, 1.0
hr5284, 1.0
hr5287, 0.0
hr5286, 0.0
hr5281, 0.5
hr5280, 0.0
hr5283, 0.0
hr5282, 0.5
hr5289, 0.0
hr5288, 0.0
hr1057, 0.0
hr4844, 1.0
hr4845, 0.5
hr4514, 1.0
hr4515, 0.0
hr5139, 0.5
hr5138, 1.0
hr5137, 1.0
hr5136, 0.0
hr5135, 0.9
hr5134, 0.5
hr5133, 0.0
hr5132, 0.0
hr5131, 0.7
hr4513, 0.0
hr4842, 0.5
hr4511, 0.0
hr4848, 0.0
hr4849, 1.0
hr4518, 1.0
hr4519, 1.0
hr1902, 0.2
hr1903, 0.5
hr1900, 0.9
hr1901, 1.0
hr1906, 0.1
hr1907, 0.0
hr1904, 0.7
hr1905, 0.3
hr1908, 1.0
hr1909, 0.8
hr128, 0.0
hr129, 0.1
hr4374, 1.0
hr4375, 0.4
hr4372, 0.1
hr4373, 0.0
hr4370, 1.0
hr4371, 1.0
hr120, 0.0
hr121, 0.0
hr122, 0.0
hr123, 0.0
hr124, 0.4
hr125, 0.6
hr126, 1.0
hr127, 1.0
hr3858, 0.9
hr3859, 0.0
hr3856, 0.0
hr3857, 1.0
hr3854, 0.2
hr3855, 0.4
hr3852, 0.0
hr3853, 1.0
hr3850, 0.5
hr3851, 1.0
hr1630, 0.0
hr1631, 0.0
hr1632, 0.8
hr1633, 0.8
hr1634, 0.7
hr1635, 0.0
hr1636, 0.0
hr1637, 1.0
hr1638, 1.0
hr1639, 0.5
hr2109, 0.0
hr2108, 0.0
hr2103, 0.5
hr2102, 0.0
hr2101, 0.0
hr2100, 0.0
hr2107, 0.1
hr2106, 0.3
hr2105, 0.5
hr2104, 1.0
hr5458, 0.0
hr5459, 0.2
hr5450, 1.0
hr5451, 0.0
hr5452, 0.5
hr5453, 0.0
hr5454, 0.0
hr5455, 0.0
hr5456, 0.6
hr5457, 0.5
hr3678, 0.3
hr3679, 1.0
hr3672, 0.4
hr3673, 0.6
hr3670, 0.4
hr3671, 1.0
hr3676, 0.6
hr3677, 0.6
