s2736,0.70365053347875872,2.0684744691241157,-1.7720800539007255,-0.49509322465585959,0.61654901942224849,1.3371102813418558,3.5109239354576158,1,2,7,0,REFERRED
s2737,0.52955857363801562,1.2063016862046851,-0.63666076558051055,-0.21797969482030022,0.24493788876739853,0.91148763970158519,2.3234933754858602,1,5,7,14223.0943396226,REFERRED
s2042,0.57393174578490191,2.0034247783361834,-1.974670979821858,-0.7151863866273751,0.51322806867502324,1.2488451587310903,3.1893214751005035,1,3,2,2661.5384615385,REPORTED
s2735,0.63330322003957096,1.4775796743535572,-0.75455214001935789,-0.25535991169974476,0.28376848273140853,0.91813699947904526,2.6088401282060971,1,2,7,224835.564102564,REFERRED
s2044,0.38041204524875311,1.3255783450640242,-1.0867480305747328,-0.44493687008529059,0.20327044101902528,0.72644189718065522,2.1535010165405652,1,7,2,15311.0526315789,REFERRED
s2733,0.63279978535440706,1.4182994781063016,-0.64780144528487249,-0.17595241709017612,0.31189710607823878,0.77349861058424207,2.6132774521001529,1,2,7,216.6666666667,REFERRED
s2730,0.51645622578890338,1.2870728688337332,-0.73937114106659663,-0.22994875113400431,0.19173391684184476,0.75358757513607455,2.6534948073608828,1,2,7,14223.0943396226,REFERRED
s2047,0.10459004406483223,1.5342375698190163,-1.5103982421722095,-0.99043323259148552,-0.085144369246460239,0.51732281046582018,2.3406617861387957,1,8,2,1922.641509434,REFERRED
s2048,0.53618657717296803,1.0755842552717165,-0.8068474308021506,-0.14091511781595867,0.49791552220483909,0.99201784711915653,1.7615283208741745,1,10,2,4553.25,REFERRED
s2049,0.39616865083165509,1.2913341229362971,-0.85791174790777847,-0.37359700038389959,0.11705079074502087,0.78112224382195805,2.032543309291357,1,3,2,6807.7407407407,REFERRED
s2734,0.66267499318593259,2.0102839068081737,-1.1162871242405028,-0.51864489196702068,0.18848519174908129,0.81075383105379584,3.4658322898846183,1,1,7,24614.9833333333,REFERRED
s2738,0.41397689295886581,1.6582515611871074,-1.3144959789571689,-0.54063872524972245,0.15088707900507814,0.62609896617303018,2.7937332775738355,1,4,7,6616.3265306123,REFERRED
s2739,0.75110884602970074,2.028803313484413,-1.5187959956307235,-0.62691343558081436,0.63265374502531524,1.3154328014032375,3.3978931102427339,1,1,7,17011,REFERRED
s2043,0.51623783544981094,0.89642887979387664,-0.33517348650605305,-0.02749661034732595,0.35204017125144971,0.80825599810444304,1.5370286549109919,1,8,2,15311.0526315789,REFERRED
