# Undirected graph (each unordered pair of nodes is saved once): committee_graph.txt
# Nodes: 217 Edges: 6139
# NodeId	NodeId
20606464	20606465
20606464	20606474
20606464	22157520
20606464	22157523
20606464	22157535
20606464	43869731
20606464	43869751
20606464	50842305
20606464	50842306
20606464	50842318
20606464	50869872
20606464	51869749
20606464	51869754
20606464	52842418
20606464	52869874
20606464	60869760
20606464	66869811
20606464	74393789
20606464	74393790
20606464	75393785
20606464	75393792
20606464	82158665
20606464	83158670
20606464	85158837
20606464	85158841
20606464	86842655
20606464	89842625
20606464	89842628
20606465	20606474
20606465	43869731
20606465	43869751
20606465	46869880
20606465	47869740
20606465	50842305
20606465	50842306
20606465	50842318
20606465	51869749
20606465	52842417
20606465	52842418
20606465	52869874
20606465	53157356
20606465	54157353
20606465	60869760
20606465	61869899
20606465	61869919
20606465	66869811
20606465	74393787
20606465	74393789
20606465	74393790
20606465	75393792
20606465	82158665
20606465	83158670
20606465	89842625
20606465	89842626
20606465	89842628
20606465	90392484
20606465	90392485
20606465	90392486
20606465	90392487
20606465	90392488
20606465	94392661
20606465	97392662
24783870	24783871
24783870	24783872
24783870	25774402
24783870	27783842
24783870	29774451
24783870	31783845
24783870	31783854
24783870	31783855
24783870	32783844
24783870	32783853
24783870	32783854
24783870	33783827
24783870	33783829
24783870	33783831
24783870	35783891
24783870	36774335
24783870	37774463
24783870	37783897
24783870	37783898
24783870	37783899
24783870	37783900
24783870	37783902
24783870	37783904
24783870	41774339
24783870	44783947
24783870	44783949
24783870	44783950
24783870	44783951
24783870	44783952
24783870	47785047
24783870	47785048
24783870	48785043
24783870	48785045
24783870	48785046
24783870	48785051
24783870	54774675
24783870	58134733
24783870	60766153
24783870	60766156
24783870	60766158
24783870	60766159
24783870	62766259
24783870	62766262
24783870	62774200
24783870	62774201
24783870	69134323
24783870	70134778
24783870	77783993
24783870	77783996
24783870	77783997
24783870	77783999
24783870	79134815
24783870	98784162
24783870	98784163
24783870	98784164
24783870	99784143
24783870	99784144
24783870	99784163
21157547	22157520
21157547	22157521
21157547	22157523
21157547	22157535
21157547	46869880
21157547	50869872
21157547	51869754
21157547	61869899
21157547	62869768
21157547	69134323
21157547	73393912
21157547	85158834
21157547	85158841
21157547	94392661
21157547	95061399
21157547	95061403
21157547	97392668
24783868	24783869
24783868	24783870
24783868	24783871
24783868	24783872
24783868	25774402
24783868	25774427
24783868	27774412
24783868	27783842
24783868	29774451
24783868	31783845
24783868	31783855
24783868	32783843
24783868	32783844
24783868	32783853
24783868	32783854
24783868	33783827
24783868	33783829
24783868	33783831
24783868	35783891
24783868	36774335
24783868	37774463
24783868	37783897
24783868	37783898
24783868	37783900
24783868	37783902
24783868	37783904
24783868	41774339
24783868	47785047
24783868	47785048
24783868	48785042
24783868	48785043
24783868	48785045
24783868	48785046
24783868	48785051
24783868	54774675
24783868	60766152
24783868	60766153
24783868	60766156
24783868	60766158
24783868	60766159
24783868	62766259
24783868	62766262
24783868	62774200
24783868	62774201
24783868	69134323
24783868	79134815
24783868	98784162
24783868	98784164
24783868	98785331
24783868	99784143
24783868	99784144
24783868	99784163
24783868	99785342
24783868	99785344
62134779	62766259
62134779	62766262
62134779	62774200
62134779	65774681
62134779	65869931
62134779	77783996
62134779	77783997
62134779	77783999
62134779	79134815
62134779	95607744
62134779	95607747
62134779	95607749
62134779	98785331
62134779	99785340
62134779	99785341
62134779	99785342
62134779	99785343
62134779	99785344
70134778	74393787
70134778	75393792
70134778	80157713
70134778	80157715
70134778	82158663
70134778	83158670
70134778	94392661
70134778	97392665
70134778	98785331
70134778	99785341
70134778	99785343
70134778	99785344
24783871	24783872
24783871	27783842
24783871	29774451
24783871	31783855
24783871	32783843
24783871	32783844
24783871	32783853
24783871	32783854
24783871	33783827
24783871	35783891
24783871	36774335
24783871	37774463
24783871	37783897
24783871	37783899
24783871	37783900
24783871	37783902
24783871	44783947
24783871	44783949
24783871	44783951
24783871	54774675
24783871	60766153
24783871	60766158
24783871	60766159
24783871	62766259
24783871	62766262
24783871	62774200
24783871	62774201
24783871	77783993
24783871	77783996
24783871	77783997
24783871	77783999
24783871	79134815
24783871	98784162
24783871	98784163
24783871	98784164
24783871	99784143
24783871	99784144
24783871	99784163
20606474	43869731
20606474	43869751
20606474	46869880
20606474	47869740
20606474	50842318
20606474	51869749
20606474	52842417
20606474	53157356
20606474	54157353
20606474	60869760
20606474	61869899
20606474	61869919
20606474	66869811
20606474	74393787
20606474	75393785
20606474	75393787
20606474	75393792
20606474	86842646
20606474	86842655
20606474	89842625
20606474	89842626
20606474	89842628
20606474	90392484
20606474	90392485
20606474	90392486
20606474	90392487
20606474	97392662
20606474	97392668
69134323	69842404
69134323	70842409
69134323	70842412
69134323	73393906
69134323	73393912
69134323	74393789
69134323	75393785
69134323	75393792
69134323	79134815
69134323	80157713
69134323	81157713
69134323	84158837
69134323	85158839
69134323	86842646
69134323	89842625
69134323	98784162
69134323	98785331
69134323	99784143
69134323	99784144
69134323	99784163
69134323	99785343
69134323	99785344
69842416	70842409
69842416	70842412
69842416	70842414
69842416	70842415
32783854	32783856
32783854	33783827
32783854	33783829
32783854	33783830
32783854	33783831
32783854	35783891
32783854	36774335
32783854	37774463
32783854	37783897
32783854	37783898
32783854	37783899
32783854	37783900
32783854	37783902
32783854	41774339
32783854	44783947
32783854	44783949
32783854	44783950
32783854	44783951
32783854	44783952
32783854	47785047
32783854	47785048
32783854	48785043
32783854	48785045
32783854	48785046
32783854	48785051
32783854	54774675
32783854	58774178
32783854	60766152
32783854	60766153
32783854	60766156
32783854	60766158
32783854	60766159
32783854	62766259
32783854	62766262
32783854	62774200
32783854	62774201
32783854	65774681
32783854	69134323
32783854	70134778
32783854	77783993
32783854	77783996
32783854	77783997
32783854	77783999
32783854	79134815
32783854	98784162
32783854	98784163
32783854	98784164
32783854	99784144
32783854	99784163
32783853	32783854
32783853	32783856
32783853	33783827
32783853	33783829
32783853	33783830
32783853	33783831
32783853	35783891
32783853	37774463
32783853	37783897
32783853	37783899
32783853	37783900
32783853	37783902
32783853	37783904
32783853	41774339
32783853	44783947
32783853	44783949
32783853	44783950
32783853	44783951
32783853	44783952
32783853	47785047
32783853	48785042
32783853	48785046
32783853	48785051
32783853	58134733
32783853	60766152
32783853	60766158
32783853	60766159
32783853	62766259
32783853	62774200
